Date,Open,High,Low,Close
2017-11-02,33615.84,33657.57,33527,33573.22
2017-11-03,33667.34,33733.71,33531.94,33685.56
2017-11-06,33710.15,33848.42,33582.38,33731.19
2017-11-07,33781.01,33865.95,33341.82,33370.76
2017-11-08,33417.35,33484.7,33157.68,33218.81
2017-11-09,33376.62,33463.8,33111.54,33250.93
2017-11-10,33235.75,33380.42,33108.09,33314.56
2017-11-13,33397.41,33417.3,32999.98,33033.56
2017-11-14,32990.03,33126.55,32907.11,32941.87
2017-11-15,32944.94,32944.94,32683.59,32760.44
2017-11-16,32829.82,33165.15,32829.82,33106.82
2017-11-17,33388.47,33520.82,33278.91,33342.8
2017-11-20,33365.84,33449.53,33288.21,33359.9
2017-11-21,33438.28,33625.05,33437.61,33478.35
2017-11-22,33569.07,33654.53,33465.23,33561.55
2017-11-23,33575.91,33670.19,33468.3,33588.08
2017-11-24,33670,33738.53,33639.98,33679.24
2017-11-27,33640.51,33745.17,33540.46,33724.44
2017-11-28,33726.65,33770.15,33576.65,33618.59
2017-11-29,33664.27,33728.81,33553.12,33602.76
2017-11-30,33542.5,33576.2,33108.72,33149.35
2017-12-01,33247.66,33300.81,32797.78,32832.94
2017-12-04,32968.02,33008.47,32785.76,32869.72
2017-12-05,32814.03,32893.05,32682.52,32802.44
2017-12-06,32798.5,32804.75,32565.16,32597.18
2017-12-07,32615.05,32992.45,32598.12,32949.21
2017-12-08,33034.2,33285.68,33034.2,33250.3
2017-12-11,33317.72,33535.97,33313.17,33455.79
2017-12-12,33426.59,33458.41,33179.75,33227.99
2017-12-13,33229.73,33404.26,32988.82,33053.04
2017-12-14,33114.69,33321.52,32886.93,33246.7
2017-12-15,33456.02,33621.96,33405.82,33462.97
2017-12-18,33364.52,33801.9,32595.63,33601.68
2017-12-19,33732.08,33862.07,33666.62,33836.74
2017-12-20,33928.59,33956.31,33754.94,33777.38
2017-12-21,33826.25,33860.99,33707.8,33756.28
2017-12-22,33768.47,33964.28,33767.73,33940.3
2017-12-26,33980.76,34061.88,33889.75,34010.61
2017-12-27,34087.32,34137.97,33839.51,33911.81
2017-12-28,33928.86,34023.65,33752.03,33848.03
2017-12-29,33889.39,34086.05,33889.39,34056.83
2018-01-01,34059.99,34101.13,33766.15,33812.75
2018-01-02,33913.55,33964.14,33703.37,33812.26
2018-01-03,33929.61,33998.37,33765.43,33793.38
2018-01-04,33912.49,33995.4,33802.13,33969.64
2018-01-05,34021.27,34188.85,34020.84,34153.85
2018-01-08,34216.33,34385.67,34216.33,34352.79
2018-01-09,34431.61,34488.03,34343.41,34443.19
2018-01-10,34538.78,34565.63,34311.63,34433.07
2018-01-11,34471.48,34558.88,34400.61,34503.49
2018-01-12,34578.99,34638.42,34342.16,34592.39
2018-01-15,34687.21,34963.69,34687.21,34843.51
2018-01-16,34877.71,34936.03,34735.55,34771.05
2018-01-17,34753.8,35118.61,34700.82,35081.82
2018-01-18,35366.45,35507.36,35166.44,35260.29
2018-01-19,35339.11,35542.17,35221.16,35511.58
2018-01-22,35613.97,35827.7,35544.68,35798.01
2018-01-23,35868.19,36170.83,35863.98,36139.98
2018-01-24,36161.62,36268.19,36036.51,36161.64
2018-01-25,36208.39,36247.02,35823.35,36050.44
2018-01-29,36106.36,36443.98,36093.36,36283.25
2018-01-30,36277.12,36291.82,35993.41,36033.73
